Identifiant;Nom;Famille;Rangs;Fournisseur;TVA sur place;TVA à emporter;Type;Code barre;Référence;Description;Unité;Gestion du stock;Affichage du stock;PRIX TTC - Défaut - Mon Magasin Caisse 1;Couleur de fond;Texte du bouton;Supprimé;Prix d'achat
d711df0b-09cf-4b04-83c5-3ad29870d4a6;Spray ambiance;Senteurs;Pas de rang;Pas de fournisseur;20;20;SIMPLE;[];;;UNIT;1;0;1,50;#81ecec;Spray ambiance;0;
bde2c9b9-3966-4896-b309-2a7f84e706ab;Bague;Bijoux;Pas de rang;Pas de fournisseur;20;20;SIMPLE;[];;;UNIT;0;0;0;#fd79a8;Bague;0;0
8f2aedde-544c-4514-80ae-ba34ea78847d;Collier;Bijoux;Pas de rang;Pas de fournisseur;20;20;SIMPLE;[];;;UNIT;0;0;0;#e84393;Collier;0;0
264addbb-5822-4108-bafe-5a47f96b8f5b;Bracelet;Bijoux;Pas de rang;Pas de fournisseur;20;20;SIMPLE;[];;;UNIT;0;0;0;#e17055;Bracelet;0;0
2a34bb44-928c-48b6-9ad8-410bcbc185fe;Boucles d’oreilles;Bijoux;Pas de rang;Pas de fournisseur;20;20;SIMPLE;[];;;UNIT;0;0;0;#fab1a0;Boucles d’oreilles;0;0
6c28d242-b885-4e34-a512-478f03420621;Bougie;Pas de famille;Pas de rang;Pas de fournisseur;20;20;SIMPLE;[];;;UNIT;0;0;0;#55efc4;Bougie;0;0
314b8826-5b68-47bc-976a-fa8fc378e903;Bouquet parfumé ;Pas de famille;Pas de rang;Pas de fournisseur;20;20;SIMPLE;[];;;UNIT;0;0;0;#00cec9;Bouquet  parfumé;0;0
7d66b4bf-77bd-4311-a57b-95145b08df32;Recharge;Pas de famille;Pas de rang;Pas de fournisseur;20;20;SIMPLE;[];;;UNIT;0;0;0;#7f8fa6;Recharge;0;0
b756561d-b63a-487b-a0b4-19ef274cb40d;Diffuseur ;Pas de famille;Pas de rang;Pas de fournisseur;20;20;SIMPLE;[];;;UNIT;0;0;0;#4cd137;Diffuseur électrique;0;0
a369699a-041b-42f2-9c81-11c13dac0e08;Senteur;Pas de famille;Pas de rang;Pas de fournisseur;20;20;SIMPLE;[];;;UNIT;0;0;0;#27ae60;Autre senteurs;0;0
9b6dcf40-463d-4a3c-8fa5-e414e90ad1e0;Doudou;Kids;Pas de rang;Pas de fournisseur;20;20;SIMPLE;[];;;UNIT;0;0;0;#81ecec;Doudou;0;0
51df1b3f-aa88-4ec1-b757-73d87ebcb27c;Jouet;Kids;Pas de rang;Pas de fournisseur;20;20;SIMPLE;[];;;UNIT;0;0;0;#2ecc71;Jouet;0;0
ed206710-7818-4703-8b28-03aed6b47b8f;Jeux éducatif;Kids;Pas de rang;Pas de fournisseur;20;20;SIMPLE;[];;;UNIT;0;0;0;#40739e;Jeux éducatif;0;0
140cdfb3-adaa-4523-9d90-17a752accc84;Mug tasse bol;Vaisselle;Pas de rang;Pas de fournisseur;20;20;SIMPLE;[];;;UNIT;0;0;0;#a29bfe;Mug tasse bol;0;0
